nLinks,seed,link_index,goodput_Mbps,goodput_MBps
8,16,0,5.6867,0.7108
8,16,1,5.4118,0.6765
8,16,2,5.2388,0.6549
8,16,3,5.4919,0.6865
8,16,4,5.3797,0.6725
8,16,5,5.3429,0.6679
8,16,6,5.4015,0.6752
8,16,7,5.5638,0.6955
