nLinks,seed,link_index,goodput_Mbps,goodput_MBps
8,14,0,6.2665,0.7833
8,14,1,2.6121,0.3265
8,14,2,5.5968,0.6996
8,14,3,5.8126,0.7266
8,14,4,5.9342,0.7418
8,14,5,5.7887,0.7236
8,14,6,5.8627,0.7328
8,14,7,6.0507,0.7563
