nLinks,seed,link_index,goodput_Mbps,goodput_MBps
8,15,0,5.7180,0.7147
8,15,1,5.2859,0.6607
8,15,2,5.2928,0.6616
8,15,3,5.3206,0.6651
8,15,4,5.5955,0.6994
8,15,5,5.3664,0.6708
8,15,6,5.3908,0.6739
8,15,7,5.5656,0.6957
