nLinks,seed,link_index,goodput_Mbps,goodput_MBps
7,16,0,6.4100,0.8012
7,16,1,6.4648,0.8081
7,16,2,6.1753,0.7719
7,16,3,6.1505,0.7688
7,16,4,6.3085,0.7886
7,16,5,6.1908,0.7738
7,16,6,6.4485,0.8061
