nLinks,seed,link_index,goodput_Mbps,goodput_MBps
6,19,0,4.3607,0.5451
6,19,1,4.5651,0.5706
6,19,2,4.4198,0.5525
6,19,3,4.5902,0.5738
6,19,4,4.4102,0.5513
6,19,5,4.4302,0.5538
