nLinks,seed,link_index,goodput_Mbps,goodput_MBps
6,3,0,4.3016,0.5377
6,3,1,4.6110,0.5764
6,3,2,4.5172,0.5646
6,3,3,4.6282,0.5785
6,3,4,4.3296,0.5412
6,3,5,4.5164,0.5645
