nLinks,seed,link_index,goodput_Mbps,goodput_MBps
8,8,0,3.3136,0.4142
8,8,1,3.2470,0.4059
8,8,2,3.1280,0.3910
8,8,3,3.1532,0.3941
8,8,4,3.2087,0.4011
8,8,5,3.1464,0.3933
8,8,6,3.2302,0.4038
8,8,7,3.3619,0.4202
