nLinks,seed,link_index,goodput_Mbps,goodput_MBps
8,6,0,3.1967,0.3996
8,6,1,3.3164,0.4146
8,6,2,3.0969,0.3871
8,6,3,3.3995,0.4249
8,6,4,3.1803,0.3975
8,6,5,3.1580,0.3947
8,6,6,3.1200,0.3900
8,6,7,3.3009,0.4126
