nLinks,seed,link_index,goodput_Mbps,goodput_MBps
5,6,0,5.4014,0.6752
5,6,1,5.5156,0.6894
5,6,2,5.7199,0.7150
5,6,3,5.5535,0.6942
5,6,4,5.3838,0.6730
