separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,13,0,0.5,0.6,379776,0
80.0,13,0,0.6,0.7,372416,0
80.0,13,0,0.7,0.8,375360,0
80.0,13,0,0.8,0.9,376832,0
80.0,13,0,0.9,1.0,375360,0
80.0,13,0,1.0,1.1,378304,0
80.0,13,0,1.1,1.2,372416,0
80.0,13,0,1.2,1.3,378304,0
80.0,13,0,1.3,1.4,373888,0
80.0,13,0,1.4,1.5,375360,0
80.0,13,0,1.5,1.6,373888,0
80.0,13,0,1.6,1.7,375360,0
80.0,13,0,1.7,1.8,379776,0
80.0,13,0,1.8,1.9,376832,0
80.0,13,0,1.9,2.0,375360,0
80.0,13,0,2.0,2.1,97152,0
80.0,13,0,2.1,2.2,170752,0
80.0,13,0,2.2,2.3,122176,0
80.0,13,0,2.3,2.4,163392,0
80.0,13,0,2.4,2.5,164864,0
80.0,13,0,2.5,2.6,113344,0
80.0,13,0,2.6,2.7,105984,0
80.0,13,0,2.7,2.8,154560,0
80.0,13,0,2.8,2.9,145728,0
80.0,13,0,2.9,3.0,169280,0
80.0,13,0,3.0,3.1,101568,0
80.0,13,0,3.1,3.2,148672,0
80.0,13,0,3.2,3.3,153088,0
80.0,13,0,3.3,3.4,82432,0
80.0,13,0,3.4,3.5,139840,0
80.0,13,0,3.5,3.6,185472,0
80.0,13,0,3.6,3.7,147200,0
80.0,13,0,3.7,3.8,126592,0
80.0,13,0,3.8,3.9,172224,0
80.0,13,0,3.9,4.0,70656,0
80.0,13,0,4.0,4.1,369472,0
80.0,13,0,4.1,4.2,375360,0
80.0,13,0,4.2,4.3,375360,0
80.0,13,0,4.3,4.4,375360,0
80.0,13,0,4.4,4.5,372416,0
80.0,13,0,4.5,4.6,378304,0
80.0,13,0,4.6,4.7,376832,0
80.0,13,0,4.7,4.8,373888,0
80.0,13,0,4.8,4.9,370944,0
80.0,13,0,4.9,5.0,375360,0
80.0,13,0,5.0,5.1,378304,0
80.0,13,0,5.1,5.2,375360,0
80.0,13,0,5.2,5.3,376832,0
80.0,13,0,5.3,5.4,378304,0
80.0,13,0,5.4,5.5,373888,0
80.0,13,1,0.5,0.6,0,1472
80.0,13,1,0.6,0.7,0,1472
80.0,13,1,0.7,0.8,0,1472
80.0,13,1,0.8,0.9,0,1472
80.0,13,1,0.9,1.0,0,1472
80.0,13,1,1.0,1.1,0,1472
80.0,13,1,1.1,1.2,0,1472
80.0,13,1,1.2,1.3,0,1472
80.0,13,1,1.3,1.4,0,1472
80.0,13,1,1.4,1.5,0,1472
80.0,13,1,1.5,1.6,0,1472
80.0,13,1,1.6,1.7,0,1472
80.0,13,1,1.7,1.8,0,1472
80.0,13,1,1.8,1.9,0,1472
80.0,13,1,1.9,2.0,0,1472
80.0,13,1,2.0,2.1,172224,1472
80.0,13,1,2.1,2.2,103040,1472
80.0,13,1,2.2,2.3,144256,1472
80.0,13,1,2.3,2.4,105984,1472
80.0,13,1,2.4,2.5,95680,1472
80.0,13,1,2.5,2.6,151616,1472
80.0,13,1,2.6,2.7,163392,1472
80.0,13,1,2.7,2.8,107456,1472
80.0,13,1,2.8,2.9,131008,1472
80.0,13,1,2.9,3.0,111872,1472
80.0,13,1,3.0,3.1,176640,1472
80.0,13,1,3.1,3.2,133952,1472
80.0,13,1,3.2,3.3,97152,1472
80.0,13,1,3.3,3.4,197248,1472
80.0,13,1,3.4,3.5,108928,1472
80.0,13,1,3.5,3.6,76544,1472
80.0,13,1,3.6,3.7,120704,1472
80.0,13,1,3.7,3.8,158976,1472
80.0,13,1,3.8,3.9,114816,1472
80.0,13,1,3.9,4.0,203136,1472
80.0,13,1,4.0,4.1,1472,1472
80.0,13,1,4.1,4.2,0,1472
80.0,13,1,4.2,4.3,0,1472
80.0,13,1,4.3,4.4,0,1472
80.0,13,1,4.4,4.5,0,1472
80.0,13,1,4.5,4.6,0,1472
80.0,13,1,4.6,4.7,0,1472
80.0,13,1,4.7,4.8,0,1472
80.0,13,1,4.8,4.9,0,1472
80.0,13,1,4.9,5.0,0,1472
80.0,13,1,5.0,5.1,0,1472
80.0,13,1,5.1,5.2,0,1472
80.0,13,1,5.2,5.3,0,1472
80.0,13,1,5.3,5.4,0,1472
80.0,13,1,5.4,5.5,0,1472
