separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,3,0,0.5,0.6,372416,0
80.0,3,0,0.6,0.7,375360,0
80.0,3,0,0.7,0.8,376832,0
80.0,3,0,0.8,0.9,376832,0
80.0,3,0,0.9,1.0,375360,0
80.0,3,0,1.0,1.1,372416,0
80.0,3,0,1.1,1.2,373888,0
80.0,3,0,1.2,1.3,381248,0
80.0,3,0,1.3,1.4,373888,0
80.0,3,0,1.4,1.5,373888,0
80.0,3,0,1.5,1.6,379776,0
80.0,3,0,1.6,1.7,375360,0
80.0,3,0,1.7,1.8,372416,0
80.0,3,0,1.8,1.9,375360,0
80.0,3,0,1.9,2.0,376832,0
80.0,3,0,2.0,2.1,169280,0
80.0,3,0,2.1,2.2,192832,0
80.0,3,0,2.2,2.3,108928,0
80.0,3,0,2.3,2.4,123648,0
80.0,3,0,2.4,2.5,117760,0
80.0,3,0,2.5,2.6,131008,0
80.0,3,0,2.6,2.7,111872,0
80.0,3,0,2.7,2.8,144256,0
80.0,3,0,2.8,2.9,117760,0
80.0,3,0,2.9,3.0,107456,0
80.0,3,0,3.0,3.1,119232,0
80.0,3,0,3.1,3.2,154560,0
80.0,3,0,3.2,3.3,167808,0
80.0,3,0,3.3,3.4,133952,0
80.0,3,0,3.4,3.5,188416,0
80.0,3,0,3.5,3.6,116288,0
80.0,3,0,3.6,3.7,211968,0
80.0,3,0,3.7,3.8,172224,0
80.0,3,0,3.8,3.9,129536,0
80.0,3,0,3.9,4.0,98624,0
80.0,3,0,4.0,4.1,376832,0
80.0,3,0,4.1,4.2,376832,0
80.0,3,0,4.2,4.3,378304,0
80.0,3,0,4.3,4.4,378304,0
80.0,3,0,4.4,4.5,375360,0
80.0,3,0,4.5,4.6,373888,0
80.0,3,0,4.6,4.7,376832,0
80.0,3,0,4.7,4.8,376832,0
80.0,3,0,4.8,4.9,375360,0
80.0,3,0,4.9,5.0,376832,0
80.0,3,0,5.0,5.1,375360,0
80.0,3,0,5.1,5.2,372416,0
80.0,3,0,5.2,5.3,378304,0
80.0,3,0,5.3,5.4,375360,0
80.0,3,0,5.4,5.5,370944,0
80.0,3,1,0.5,0.6,0,1472
80.0,3,1,0.6,0.7,0,1472
80.0,3,1,0.7,0.8,0,1472
80.0,3,1,0.8,0.9,0,1472
80.0,3,1,0.9,1.0,0,1472
80.0,3,1,1.0,1.1,0,1472
80.0,3,1,1.1,1.2,0,1472
80.0,3,1,1.2,1.3,0,1472
80.0,3,1,1.3,1.4,0,1472
80.0,3,1,1.4,1.5,0,1472
80.0,3,1,1.5,1.6,0,1472
80.0,3,1,1.6,1.7,0,1472
80.0,3,1,1.7,1.8,0,1472
80.0,3,1,1.8,1.9,0,1472
80.0,3,1,1.9,2.0,0,1472
80.0,3,1,2.0,2.1,98624,1472
80.0,3,1,2.1,2.2,73600,1472
80.0,3,1,2.2,2.3,161920,1472
80.0,3,1,2.3,2.4,145728,1472
80.0,3,1,2.4,2.5,158976,1472
80.0,3,1,2.5,2.6,154560,1472
80.0,3,1,2.6,2.7,153088,1472
80.0,3,1,2.7,2.8,114816,1472
80.0,3,1,2.8,2.9,153088,1472
80.0,3,1,2.9,3.0,157504,1472
80.0,3,1,3.0,3.1,156032,1472
80.0,3,1,3.1,3.2,132480,1472
80.0,3,1,3.2,3.3,117760,1472
80.0,3,1,3.3,3.4,132480,1472
80.0,3,1,3.4,3.5,92736,1472
80.0,3,1,3.5,3.6,160448,1472
80.0,3,1,3.6,3.7,70656,1472
80.0,3,1,3.7,3.8,104512,1472
80.0,3,1,3.8,3.9,147200,1472
80.0,3,1,3.9,4.0,160448,1472
80.0,3,1,4.0,4.1,1472,1472
80.0,3,1,4.1,4.2,0,1472
80.0,3,1,4.2,4.3,0,1472
80.0,3,1,4.3,4.4,0,1472
80.0,3,1,4.4,4.5,0,1472
80.0,3,1,4.5,4.6,0,1472
80.0,3,1,4.6,4.7,0,1472
80.0,3,1,4.7,4.8,0,1472
80.0,3,1,4.8,4.9,0,1472
80.0,3,1,4.9,5.0,0,1472
80.0,3,1,5.0,5.1,0,1472
80.0,3,1,5.1,5.2,0,1472
80.0,3,1,5.2,5.3,0,1472
80.0,3,1,5.3,5.4,0,1472
80.0,3,1,5.4,5.5,0,1472
