separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,1,0,0.5,0.6,376832,0
80.0,1,0,0.6,0.7,375360,0
80.0,1,0,0.7,0.8,375360,0
80.0,1,0,0.8,0.9,375360,0
80.0,1,0,0.9,1.0,375360,0
80.0,1,0,1.0,1.1,375360,0
80.0,1,0,1.1,1.2,375360,0
80.0,1,0,1.2,1.3,372416,0
80.0,1,0,1.3,1.4,378304,0
80.0,1,0,1.4,1.5,376832,0
80.0,1,0,1.5,1.6,375360,0
80.0,1,0,1.6,1.7,375360,0
80.0,1,0,1.7,1.8,373888,0
80.0,1,0,1.8,1.9,373888,0
80.0,1,0,1.9,2.0,373888,0
80.0,1,0,2.0,2.1,67712,0
80.0,1,0,2.1,2.2,178112,0
80.0,1,0,2.2,2.3,157504,0
80.0,1,0,2.3,2.4,156032,0
80.0,1,0,2.4,2.5,133952,0
80.0,1,0,2.5,2.6,116288,0
80.0,1,0,2.6,2.7,103040,0
80.0,1,0,2.7,2.8,104512,0
80.0,1,0,2.8,2.9,145728,0
80.0,1,0,2.9,3.0,135424,0
80.0,1,0,3.0,3.1,169280,0
80.0,1,0,3.1,3.2,86848,0
80.0,1,0,3.2,3.3,105984,0
80.0,1,0,3.3,3.4,166336,0
80.0,1,0,3.4,3.5,179584,0
80.0,1,0,3.5,3.6,156032,0
80.0,1,0,3.6,3.7,151616,0
80.0,1,0,3.7,3.8,131008,0
80.0,1,0,3.8,3.9,157504,0
80.0,1,0,3.9,4.0,132480,0
80.0,1,0,4.0,4.1,366528,0
80.0,1,0,4.1,4.2,376832,0
80.0,1,0,4.2,4.3,372416,0
80.0,1,0,4.3,4.4,375360,0
80.0,1,0,4.4,4.5,375360,0
80.0,1,0,4.5,4.6,376832,0
80.0,1,0,4.6,4.7,372416,0
80.0,1,0,4.7,4.8,373888,0
80.0,1,0,4.8,4.9,376832,0
80.0,1,0,4.9,5.0,375360,0
80.0,1,0,5.0,5.1,375360,0
80.0,1,0,5.1,5.2,381248,0
80.0,1,0,5.2,5.3,373888,0
80.0,1,0,5.3,5.4,376832,0
80.0,1,0,5.4,5.5,379776,0
80.0,1,1,0.5,0.6,0,1472
80.0,1,1,0.6,0.7,0,1472
80.0,1,1,0.7,0.8,0,1472
80.0,1,1,0.8,0.9,0,1472
80.0,1,1,0.9,1.0,0,1472
80.0,1,1,1.0,1.1,0,1472
80.0,1,1,1.1,1.2,0,1472
80.0,1,1,1.2,1.3,0,1472
80.0,1,1,1.3,1.4,0,1472
80.0,1,1,1.4,1.5,0,1472
80.0,1,1,1.5,1.6,0,1472
80.0,1,1,1.6,1.7,0,1472
80.0,1,1,1.7,1.8,0,1472
80.0,1,1,1.8,1.9,0,1472
80.0,1,1,1.9,2.0,0,1472
80.0,1,1,2.0,2.1,216384,1472
80.0,1,1,2.1,2.2,82432,1472
80.0,1,1,2.2,2.3,119232,1472
80.0,1,1,2.3,2.4,113344,1472
80.0,1,1,2.4,2.5,142784,1472
80.0,1,1,2.5,2.6,154560,1472
80.0,1,1,2.6,2.7,145728,1472
80.0,1,1,2.7,2.8,158976,1472
80.0,1,1,2.8,2.9,142784,1472
80.0,1,1,2.9,3.0,144256,1472
80.0,1,1,3.0,3.1,114816,1472
80.0,1,1,3.1,3.2,167808,1472
80.0,1,1,3.2,3.3,154560,1472
80.0,1,1,3.3,3.4,114816,1472
80.0,1,1,3.4,3.5,91264,1472
80.0,1,1,3.5,3.6,119232,1472
80.0,1,1,3.6,3.7,113344,1472
80.0,1,1,3.7,3.8,138368,1472
80.0,1,1,3.8,3.9,114816,1472
80.0,1,1,3.9,4.0,135424,1472
80.0,1,1,4.0,4.1,1472,1472
80.0,1,1,4.1,4.2,0,1472
80.0,1,1,4.2,4.3,0,1472
80.0,1,1,4.3,4.4,0,1472
80.0,1,1,4.4,4.5,0,1472
80.0,1,1,4.5,4.6,0,1472
80.0,1,1,4.6,4.7,0,1472
80.0,1,1,4.7,4.8,0,1472
80.0,1,1,4.8,4.9,0,1472
80.0,1,1,4.9,5.0,0,1472
80.0,1,1,5.0,5.1,0,1472
80.0,1,1,5.1,5.2,0,1472
80.0,1,1,5.2,5.3,0,1472
80.0,1,1,5.3,5.4,0,1472
80.0,1,1,5.4,5.5,0,1472
