separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
40,9,0,0.5,0.6,372416,0
40.0,9,0,0.6,0.7,373888,0
40.0,9,0,0.7,0.8,376832,0
40.0,9,0,0.8,0.9,373888,0
40.0,9,0,0.9,1.0,379776,0
40.0,9,0,1.0,1.1,378304,0
40.0,9,0,1.1,1.2,378304,0
40.0,9,0,1.2,1.3,375360,0
40.0,9,0,1.3,1.4,375360,0
40.0,9,0,1.4,1.5,376832,0
40.0,9,0,1.5,1.6,376832,0
40.0,9,0,1.6,1.7,370944,0
40.0,9,0,1.7,1.8,379776,0
40.0,9,0,1.8,1.9,373888,0
40.0,9,0,1.9,2.0,375360,0
40.0,9,0,2.0,2.1,200192,0
40.0,9,0,2.1,2.2,207552,0
40.0,9,0,2.2,2.3,201664,0
40.0,9,0,2.3,2.4,207552,0
40.0,9,0,2.4,2.5,216384,0
40.0,9,0,2.5,2.6,219328,0
40.0,9,0,2.6,2.7,192832,0
40.0,9,0,2.7,2.8,200192,0
40.0,9,0,2.8,2.9,192832,0
40.0,9,0,2.9,3.0,209024,0
40.0,9,0,3.0,3.1,194304,0
40.0,9,0,3.1,3.2,210496,0
40.0,9,0,3.2,3.3,189888,0
40.0,9,0,3.3,3.4,204608,0
40.0,9,0,3.4,3.5,214912,0
40.0,9,0,3.5,3.6,194304,0
40.0,9,0,3.6,3.7,222272,0
40.0,9,0,3.7,3.8,211968,0
40.0,9,0,3.8,3.9,201664,0
40.0,9,0,3.9,4.0,207552,0
40.0,9,0,4.0,4.1,373888,0
40.0,9,0,4.1,4.2,379776,0
40.0,9,0,4.2,4.3,375360,0
40.0,9,0,4.3,4.4,373888,0
40.0,9,0,4.4,4.5,372416,0
40.0,9,0,4.5,4.6,375360,0
40.0,9,0,4.6,4.7,376832,0
40.0,9,0,4.7,4.8,376832,0
40.0,9,0,4.8,4.9,373888,0
40.0,9,0,4.9,5.0,373888,0
40.0,9,0,5.0,5.1,375360,0
40.0,9,0,5.1,5.2,375360,0
40.0,9,0,5.2,5.3,372416,0
40.0,9,0,5.3,5.4,375360,0
40.0,9,0,5.4,5.5,373888,0
40.0,9,1,0.5,0.6,0,1472
40.0,9,1,0.6,0.7,0,1472
40.0,9,1,0.7,0.8,0,1472
40.0,9,1,0.8,0.9,0,1472
40.0,9,1,0.9,1.0,0,1472
40.0,9,1,1.0,1.1,0,1472
40.0,9,1,1.1,1.2,0,1472
40.0,9,1,1.2,1.3,0,1472
40.0,9,1,1.3,1.4,0,1472
40.0,9,1,1.4,1.5,0,1472
40.0,9,1,1.5,1.6,0,1472
40.0,9,1,1.6,1.7,0,1472
40.0,9,1,1.7,1.8,0,1472
40.0,9,1,1.8,1.9,0,1472
40.0,9,1,1.9,2.0,0,1472
40.0,9,1,2.0,2.1,211968,1472
40.0,9,1,2.1,2.2,207552,1472
40.0,9,1,2.2,2.3,213440,1472
40.0,9,1,2.3,2.4,206080,1472
40.0,9,1,2.4,2.5,201664,1472
40.0,9,1,2.5,2.6,194304,1472
40.0,9,1,2.6,2.7,217856,1472
40.0,9,1,2.7,2.8,210496,1472
40.0,9,1,2.8,2.9,216384,1472
40.0,9,1,2.9,3.0,201664,1472
40.0,9,1,3.0,3.1,220800,1472
40.0,9,1,3.1,3.2,204608,1472
40.0,9,1,3.2,3.3,223744,1472
40.0,9,1,3.3,3.4,207552,1472
40.0,9,1,3.4,3.5,200192,1472
40.0,9,1,3.5,3.6,219328,1472
40.0,9,1,3.6,3.7,191360,1472
40.0,9,1,3.7,3.8,200192,1472
40.0,9,1,3.8,3.9,209024,1472
40.0,9,1,3.9,4.0,206080,1472
40.0,9,1,4.0,4.1,1472,1472
40.0,9,1,4.1,4.2,0,1472
40.0,9,1,4.2,4.3,0,1472
40.0,9,1,4.3,4.4,0,1472
40.0,9,1,4.4,4.5,0,1472
40.0,9,1,4.5,4.6,0,1472
40.0,9,1,4.6,4.7,0,1472
40.0,9,1,4.7,4.8,0,1472
40.0,9,1,4.8,4.9,0,1472
40.0,9,1,4.9,5.0,0,1472
40.0,9,1,5.0,5.1,0,1472
40.0,9,1,5.1,5.2,0,1472
40.0,9,1,5.2,5.3,0,1472
40.0,9,1,5.3,5.4,0,1472
40.0,9,1,5.4,5.5,0,1472
