separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,10,0,0.5,0.6,369472,0
80.0,10,0,0.6,0.7,376832,0
80.0,10,0,0.7,0.8,376832,0
80.0,10,0,0.8,0.9,376832,0
80.0,10,0,0.9,1.0,373888,0
80.0,10,0,1.0,1.1,376832,0
80.0,10,0,1.1,1.2,379776,0
80.0,10,0,1.2,1.3,372416,0
80.0,10,0,1.3,1.4,373888,0
80.0,10,0,1.4,1.5,379776,0
80.0,10,0,1.5,1.6,381248,0
80.0,10,0,1.6,1.7,378304,0
80.0,10,0,1.7,1.8,375360,0
80.0,10,0,1.8,1.9,370944,0
80.0,10,0,1.9,2.0,376832,0
80.0,10,0,2.0,2.1,136896,0
80.0,10,0,2.1,2.2,135424,0
80.0,10,0,2.2,2.3,88320,0
80.0,10,0,2.3,2.4,145728,0
80.0,10,0,2.4,2.5,131008,0
80.0,10,0,2.5,2.6,197248,0
80.0,10,0,2.6,2.7,129536,0
80.0,10,0,2.7,2.8,69184,0
80.0,10,0,2.8,2.9,156032,0
80.0,10,0,2.9,3.0,125120,0
80.0,10,0,3.0,3.1,151616,0
80.0,10,0,3.1,3.2,142784,0
80.0,10,0,3.2,3.3,85376,0
80.0,10,0,3.3,3.4,158976,0
80.0,10,0,3.4,3.5,129536,0
80.0,10,0,3.5,3.6,172224,0
80.0,10,0,3.6,3.7,195776,0
80.0,10,0,3.7,3.8,120704,0
80.0,10,0,3.8,3.9,104512,0
80.0,10,0,3.9,4.0,136896,0
80.0,10,0,4.0,4.1,369472,0
80.0,10,0,4.1,4.2,372416,0
80.0,10,0,4.2,4.3,378304,0
80.0,10,0,4.3,4.4,379776,0
80.0,10,0,4.4,4.5,368000,0
80.0,10,0,4.5,4.6,378304,0
80.0,10,0,4.6,4.7,379776,0
80.0,10,0,4.7,4.8,375360,0
80.0,10,0,4.8,4.9,375360,0
80.0,10,0,4.9,5.0,379776,0
80.0,10,0,5.0,5.1,375360,0
80.0,10,0,5.1,5.2,378304,0
80.0,10,0,5.2,5.3,373888,0
80.0,10,0,5.3,5.4,375360,0
80.0,10,0,5.4,5.5,376832,0
80.0,10,1,0.5,0.6,0,1472
80.0,10,1,0.6,0.7,0,1472
80.0,10,1,0.7,0.8,0,1472
80.0,10,1,0.8,0.9,0,1472
80.0,10,1,0.9,1.0,0,1472
80.0,10,1,1.0,1.1,0,1472
80.0,10,1,1.1,1.2,0,1472
80.0,10,1,1.2,1.3,0,1472
80.0,10,1,1.3,1.4,0,1472
80.0,10,1,1.4,1.5,0,1472
80.0,10,1,1.5,1.6,0,1472
80.0,10,1,1.6,1.7,0,1472
80.0,10,1,1.7,1.8,0,1472
80.0,10,1,1.8,1.9,0,1472
80.0,10,1,1.9,2.0,0,1472
80.0,10,1,2.0,2.1,145728,1472
80.0,10,1,2.1,2.2,147200,1472
80.0,10,1,2.2,2.3,184000,1472
80.0,10,1,2.3,2.4,133952,1472
80.0,10,1,2.4,2.5,126592,1472
80.0,10,1,2.5,2.6,73600,1472
80.0,10,1,2.6,2.7,131008,1472
80.0,10,1,2.7,2.8,191360,1472
80.0,10,1,2.8,2.9,113344,1472
80.0,10,1,2.9,3.0,173696,1472
80.0,10,1,3.0,3.1,122176,1472
80.0,10,1,3.1,3.2,128064,1472
80.0,10,1,3.2,3.3,191360,1472
80.0,10,1,3.3,3.4,142784,1472
80.0,10,1,3.4,3.5,114816,1472
80.0,10,1,3.5,3.6,108928,1472
80.0,10,1,3.6,3.7,83904,1472
80.0,10,1,3.7,3.8,163392,1472
80.0,10,1,3.8,3.9,158976,1472
80.0,10,1,3.9,4.0,136896,1472
80.0,10,1,4.0,4.1,1472,1472
80.0,10,1,4.1,4.2,0,1472
80.0,10,1,4.2,4.3,0,1472
80.0,10,1,4.3,4.4,0,1472
80.0,10,1,4.4,4.5,0,1472
80.0,10,1,4.5,4.6,0,1472
80.0,10,1,4.6,4.7,0,1472
80.0,10,1,4.7,4.8,0,1472
80.0,10,1,4.8,4.9,0,1472
80.0,10,1,4.9,5.0,0,1472
80.0,10,1,5.0,5.1,0,1472
80.0,10,1,5.1,5.2,0,1472
80.0,10,1,5.2,5.3,0,1472
80.0,10,1,5.3,5.4,0,1472
80.0,10,1,5.4,5.5,0,1472
