separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,6,0,0.5,0.6,372416,0
80.0,6,0,0.6,0.7,378304,0
80.0,6,0,0.7,0.8,376832,0
80.0,6,0,0.8,0.9,376832,0
80.0,6,0,0.9,1.0,373888,0
80.0,6,0,1.0,1.1,375360,0
80.0,6,0,1.1,1.2,381248,0
80.0,6,0,1.2,1.3,379776,0
80.0,6,0,1.3,1.4,378304,0
80.0,6,0,1.4,1.5,376832,0
80.0,6,0,1.5,1.6,378304,0
80.0,6,0,1.6,1.7,372416,0
80.0,6,0,1.7,1.8,373888,0
80.0,6,0,1.8,1.9,376832,0
80.0,6,0,1.9,2.0,378304,0
80.0,6,0,2.0,2.1,150144,0
80.0,6,0,2.1,2.2,141312,0
80.0,6,0,2.2,2.3,191360,0
80.0,6,0,2.3,2.4,141312,0
80.0,6,0,2.4,2.5,145728,0
80.0,6,0,2.5,2.6,157504,0
80.0,6,0,2.6,2.7,85376,0
80.0,6,0,2.7,2.8,117760,0
80.0,6,0,2.8,2.9,141312,0
80.0,6,0,2.9,3.0,123648,0
80.0,6,0,3.0,3.1,178112,0
80.0,6,0,3.1,3.2,119232,0
80.0,6,0,3.2,3.3,119232,0
80.0,6,0,3.3,3.4,129536,0
80.0,6,0,3.4,3.5,129536,0
80.0,6,0,3.5,3.6,161920,0
80.0,6,0,3.6,3.7,156032,0
80.0,6,0,3.7,3.8,123648,0
80.0,6,0,3.8,3.9,148672,0
80.0,6,0,3.9,4.0,142784,0
80.0,6,0,4.0,4.1,373888,0
80.0,6,0,4.1,4.2,376832,0
80.0,6,0,4.2,4.3,375360,0
80.0,6,0,4.3,4.4,375360,0
80.0,6,0,4.4,4.5,373888,0
80.0,6,0,4.5,4.6,376832,0
80.0,6,0,4.6,4.7,375360,0
80.0,6,0,4.7,4.8,373888,0
80.0,6,0,4.8,4.9,378304,0
80.0,6,0,4.9,5.0,375360,0
80.0,6,0,5.0,5.1,378304,0
80.0,6,0,5.1,5.2,376832,0
80.0,6,0,5.2,5.3,373888,0
80.0,6,0,5.3,5.4,373888,0
80.0,6,0,5.4,5.5,376832,0
80.0,6,1,0.5,0.6,0,1472
80.0,6,1,0.6,0.7,0,1472
80.0,6,1,0.7,0.8,0,1472
80.0,6,1,0.8,0.9,0,1472
80.0,6,1,0.9,1.0,0,1472
80.0,6,1,1.0,1.1,0,1472
80.0,6,1,1.1,1.2,0,1472
80.0,6,1,1.2,1.3,0,1472
80.0,6,1,1.3,1.4,0,1472
80.0,6,1,1.4,1.5,0,1472
80.0,6,1,1.5,1.6,0,1472
80.0,6,1,1.6,1.7,0,1472
80.0,6,1,1.7,1.8,0,1472
80.0,6,1,1.8,1.9,0,1472
80.0,6,1,1.9,2.0,0,1472
80.0,6,1,2.0,2.1,133952,1472
80.0,6,1,2.1,2.2,125120,1472
80.0,6,1,2.2,2.3,89792,1472
80.0,6,1,2.3,2.4,154560,1472
80.0,6,1,2.4,2.5,136896,1472
80.0,6,1,2.5,2.6,114816,1472
80.0,6,1,2.6,2.7,194304,1472
80.0,6,1,2.7,2.8,158976,1472
80.0,6,1,2.8,2.9,110400,1472
80.0,6,1,2.9,3.0,160448,1472
80.0,6,1,3.0,3.1,97152,1472
80.0,6,1,3.1,3.2,164864,1472
80.0,6,1,3.2,3.3,150144,1472
80.0,6,1,3.3,3.4,125120,1472
80.0,6,1,3.4,3.5,157504,1472
80.0,6,1,3.5,3.6,120704,1472
80.0,6,1,3.6,3.7,117760,1472
80.0,6,1,3.7,3.8,144256,1472
80.0,6,1,3.8,3.9,126592,1472
80.0,6,1,3.9,4.0,125120,1472
80.0,6,1,4.0,4.1,1472,1472
80.0,6,1,4.1,4.2,0,1472
80.0,6,1,4.2,4.3,0,1472
80.0,6,1,4.3,4.4,0,1472
80.0,6,1,4.4,4.5,0,1472
80.0,6,1,4.5,4.6,0,1472
80.0,6,1,4.6,4.7,0,1472
80.0,6,1,4.7,4.8,0,1472
80.0,6,1,4.8,4.9,0,1472
80.0,6,1,4.9,5.0,0,1472
80.0,6,1,5.0,5.1,0,1472
80.0,6,1,5.1,5.2,0,1472
80.0,6,1,5.2,5.3,0,1472
80.0,6,1,5.3,5.4,0,1472
80.0,6,1,5.4,5.5,0,1472
