separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,8,0,0.5,0.6,373888,0
80.0,8,0,0.6,0.7,376832,0
80.0,8,0,0.7,0.8,373888,0
80.0,8,0,0.8,0.9,379776,0
80.0,8,0,0.9,1.0,375360,0
80.0,8,0,1.0,1.1,375360,0
80.0,8,0,1.1,1.2,375360,0
80.0,8,0,1.2,1.3,375360,0
80.0,8,0,1.3,1.4,373888,0
80.0,8,0,1.4,1.5,373888,0
80.0,8,0,1.5,1.6,372416,0
80.0,8,0,1.6,1.7,375360,0
80.0,8,0,1.7,1.8,378304,0
80.0,8,0,1.8,1.9,373888,0
80.0,8,0,1.9,2.0,375360,0
80.0,8,0,2.0,2.1,104512,0
80.0,8,0,2.1,2.2,142784,0
80.0,8,0,2.2,2.3,104512,0
80.0,8,0,2.3,2.4,111872,0
80.0,8,0,2.4,2.5,113344,0
80.0,8,0,2.5,2.6,189888,0
80.0,8,0,2.6,2.7,110400,0
80.0,8,0,2.7,2.8,126592,0
80.0,8,0,2.8,2.9,173696,0
80.0,8,0,2.9,3.0,101568,0
80.0,8,0,3.0,3.1,120704,0
80.0,8,0,3.1,3.2,156032,0
80.0,8,0,3.2,3.3,161920,0
80.0,8,0,3.3,3.4,79488,0
80.0,8,0,3.4,3.5,148672,0
80.0,8,0,3.5,3.6,151616,0
80.0,8,0,3.6,3.7,179584,0
80.0,8,0,3.7,3.8,128064,0
80.0,8,0,3.8,3.9,69184,0
80.0,8,0,3.9,4.0,86848,0
80.0,8,0,4.0,4.1,363584,0
80.0,8,0,4.1,4.2,373888,0
80.0,8,0,4.2,4.3,370944,0
80.0,8,0,4.3,4.4,378304,0
80.0,8,0,4.4,4.5,376832,0
80.0,8,0,4.5,4.6,373888,0
80.0,8,0,4.6,4.7,373888,0
80.0,8,0,4.7,4.8,373888,0
80.0,8,0,4.8,4.9,372416,0
80.0,8,0,4.9,5.0,378304,0
80.0,8,0,5.0,5.1,373888,0
80.0,8,0,5.1,5.2,375360,0
80.0,8,0,5.2,5.3,375360,0
80.0,8,0,5.3,5.4,375360,0
80.0,8,0,5.4,5.5,376832,0
80.0,8,1,0.5,0.6,0,1472
80.0,8,1,0.6,0.7,0,1472
80.0,8,1,0.7,0.8,0,1472
80.0,8,1,0.8,0.9,0,1472
80.0,8,1,0.9,1.0,0,1472
80.0,8,1,1.0,1.1,0,1472
80.0,8,1,1.1,1.2,0,1472
80.0,8,1,1.2,1.3,0,1472
80.0,8,1,1.3,1.4,0,1472
80.0,8,1,1.4,1.5,0,1472
80.0,8,1,1.5,1.6,0,1472
80.0,8,1,1.6,1.7,0,1472
80.0,8,1,1.7,1.8,0,1472
80.0,8,1,1.8,1.9,0,1472
80.0,8,1,1.9,2.0,0,1472
80.0,8,1,2.0,2.1,164864,1472
80.0,8,1,2.1,2.2,123648,1472
80.0,8,1,2.2,2.3,157504,1472
80.0,8,1,2.3,2.4,163392,1472
80.0,8,1,2.4,2.5,170752,1472
80.0,8,1,2.5,2.6,82432,1472
80.0,8,1,2.6,2.7,166336,1472
80.0,8,1,2.7,2.8,147200,1472
80.0,8,1,2.8,2.9,104512,1472
80.0,8,1,2.9,3.0,161920,1472
80.0,8,1,3.0,3.1,144256,1472
80.0,8,1,3.1,3.2,125120,1472
80.0,8,1,3.2,3.3,114816,1472
80.0,8,1,3.3,3.4,173696,1472
80.0,8,1,3.4,3.5,123648,1472
80.0,8,1,3.5,3.6,128064,1472
80.0,8,1,3.6,3.7,104512,1472
80.0,8,1,3.7,3.8,132480,1472
80.0,8,1,3.8,3.9,207552,1472
80.0,8,1,3.9,4.0,191360,1472
80.0,8,1,4.0,4.1,1472,1472
80.0,8,1,4.1,4.2,0,1472
80.0,8,1,4.2,4.3,0,1472
80.0,8,1,4.3,4.4,0,1472
80.0,8,1,4.4,4.5,0,1472
80.0,8,1,4.5,4.6,0,1472
80.0,8,1,4.6,4.7,0,1472
80.0,8,1,4.7,4.8,0,1472
80.0,8,1,4.8,4.9,0,1472
80.0,8,1,4.9,5.0,0,1472
80.0,8,1,5.0,5.1,0,1472
80.0,8,1,5.1,5.2,0,1472
80.0,8,1,5.2,5.3,0,1472
80.0,8,1,5.3,5.4,0,1472
80.0,8,1,5.4,5.5,0,1472
