separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
40,20,0,0.5,0.6,378304,0
40.0,20,0,0.6,0.7,375360,0
40.0,20,0,0.7,0.8,372416,0
40.0,20,0,0.8,0.9,375360,0
40.0,20,0,0.9,1.0,370944,0
40.0,20,0,1.0,1.1,373888,0
40.0,20,0,1.1,1.2,372416,0
40.0,20,0,1.2,1.3,379776,0
40.0,20,0,1.3,1.4,372416,0
40.0,20,0,1.4,1.5,376832,0
40.0,20,0,1.5,1.6,376832,0
40.0,20,0,1.6,1.7,378304,0
40.0,20,0,1.7,1.8,378304,0
40.0,20,0,1.8,1.9,381248,0
40.0,20,0,1.9,2.0,372416,0
40.0,20,0,2.0,2.1,211968,0
40.0,20,0,2.1,2.2,214912,0
40.0,20,0,2.2,2.3,198720,0
40.0,20,0,2.3,2.4,188416,0
40.0,20,0,2.4,2.5,204608,0
40.0,20,0,2.5,2.6,188416,0
40.0,20,0,2.6,2.7,209024,0
40.0,20,0,2.7,2.8,203136,0
40.0,20,0,2.8,2.9,206080,0
40.0,20,0,2.9,3.0,200192,0
40.0,20,0,3.0,3.1,213440,0
40.0,20,0,3.1,3.2,198720,0
40.0,20,0,3.2,3.3,192832,0
40.0,20,0,3.3,3.4,197248,0
40.0,20,0,3.4,3.5,213440,0
40.0,20,0,3.5,3.6,206080,0
40.0,20,0,3.6,3.7,220800,0
40.0,20,0,3.7,3.8,207552,0
40.0,20,0,3.8,3.9,203136,0
40.0,20,0,3.9,4.0,220800,0
40.0,20,0,4.0,4.1,370944,0
40.0,20,0,4.1,4.2,375360,0
40.0,20,0,4.2,4.3,373888,0
40.0,20,0,4.3,4.4,379776,0
40.0,20,0,4.4,4.5,372416,0
40.0,20,0,4.5,4.6,370944,0
40.0,20,0,4.6,4.7,372416,0
40.0,20,0,4.7,4.8,372416,0
40.0,20,0,4.8,4.9,373888,0
40.0,20,0,4.9,5.0,378304,0
40.0,20,0,5.0,5.1,372416,0
40.0,20,0,5.1,5.2,373888,0
40.0,20,0,5.2,5.3,375360,0
40.0,20,0,5.3,5.4,375360,0
40.0,20,0,5.4,5.5,372416,0
40.0,20,1,0.5,0.6,0,1472
40.0,20,1,0.6,0.7,0,1472
40.0,20,1,0.7,0.8,0,1472
40.0,20,1,0.8,0.9,0,1472
40.0,20,1,0.9,1.0,0,1472
40.0,20,1,1.0,1.1,0,1472
40.0,20,1,1.1,1.2,0,1472
40.0,20,1,1.2,1.3,0,1472
40.0,20,1,1.3,1.4,0,1472
40.0,20,1,1.4,1.5,0,1472
40.0,20,1,1.5,1.6,0,1472
40.0,20,1,1.6,1.7,0,1472
40.0,20,1,1.7,1.8,0,1472
40.0,20,1,1.8,1.9,0,1472
40.0,20,1,1.9,2.0,0,1472
40.0,20,1,2.0,2.1,201664,1472
40.0,20,1,2.1,2.2,200192,1472
40.0,20,1,2.2,2.3,213440,1472
40.0,20,1,2.3,2.4,225216,1472
40.0,20,1,2.4,2.5,211968,1472
40.0,20,1,2.5,2.6,228160,1472
40.0,20,1,2.6,2.7,207552,1472
40.0,20,1,2.7,2.8,213440,1472
40.0,20,1,2.8,2.9,206080,1472
40.0,20,1,2.9,3.0,211968,1472
40.0,20,1,3.0,3.1,200192,1472
40.0,20,1,3.1,3.2,217856,1472
40.0,20,1,3.2,3.3,217856,1472
40.0,20,1,3.3,3.4,216384,1472
40.0,20,1,3.4,3.5,197248,1472
40.0,20,1,3.5,3.6,207552,1472
40.0,20,1,3.6,3.7,194304,1472
40.0,20,1,3.7,3.8,209024,1472
40.0,20,1,3.8,3.9,210496,1472
40.0,20,1,3.9,4.0,189888,1472
40.0,20,1,4.0,4.1,1472,1472
40.0,20,1,4.1,4.2,0,1472
40.0,20,1,4.2,4.3,0,1472
40.0,20,1,4.3,4.4,0,1472
40.0,20,1,4.4,4.5,0,1472
40.0,20,1,4.5,4.6,0,1472
40.0,20,1,4.6,4.7,0,1472
40.0,20,1,4.7,4.8,0,1472
40.0,20,1,4.8,4.9,0,1472
40.0,20,1,4.9,5.0,0,1472
40.0,20,1,5.0,5.1,0,1472
40.0,20,1,5.1,5.2,0,1472
40.0,20,1,5.2,5.3,0,1472
40.0,20,1,5.3,5.4,0,1472
40.0,20,1,5.4,5.5,0,1472
