separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,4,0,0.5,0.6,370944,0
80.0,4,0,0.6,0.7,373888,0
80.0,4,0,0.7,0.8,375360,0
80.0,4,0,0.8,0.9,375360,0
80.0,4,0,0.9,1.0,378304,0
80.0,4,0,1.0,1.1,378304,0
80.0,4,0,1.1,1.2,375360,0
80.0,4,0,1.2,1.3,373888,0
80.0,4,0,1.3,1.4,368000,0
80.0,4,0,1.4,1.5,382720,0
80.0,4,0,1.5,1.6,373888,0
80.0,4,0,1.6,1.7,378304,0
80.0,4,0,1.7,1.8,379776,0
80.0,4,0,1.8,1.9,373888,0
80.0,4,0,1.9,2.0,373888,0
80.0,4,0,2.0,2.1,66240,0
80.0,4,0,2.1,2.2,172224,0
80.0,4,0,2.2,2.3,125120,0
80.0,4,0,2.3,2.4,144256,0
80.0,4,0,2.4,2.5,104512,0
80.0,4,0,2.5,2.6,132480,0
80.0,4,0,2.6,2.7,83904,0
80.0,4,0,2.7,2.8,164864,0
80.0,4,0,2.8,2.9,154560,0
80.0,4,0,2.9,3.0,164864,0
80.0,4,0,3.0,3.1,144256,0
80.0,4,0,3.1,3.2,172224,0
80.0,4,0,3.2,3.3,156032,0
80.0,4,0,3.3,3.4,153088,0
80.0,4,0,3.4,3.5,150144,0
80.0,4,0,3.5,3.6,201664,0
80.0,4,0,3.6,3.7,135424,0
80.0,4,0,3.7,3.8,131008,0
80.0,4,0,3.8,3.9,91264,0
80.0,4,0,3.9,4.0,97152,0
80.0,4,0,4.0,4.1,370944,0
80.0,4,0,4.1,4.2,378304,0
80.0,4,0,4.2,4.3,378304,0
80.0,4,0,4.3,4.4,376832,0
80.0,4,0,4.4,4.5,376832,0
80.0,4,0,4.5,4.6,373888,0
80.0,4,0,4.6,4.7,376832,0
80.0,4,0,4.7,4.8,378304,0
80.0,4,0,4.8,4.9,376832,0
80.0,4,0,4.9,5.0,373888,0
80.0,4,0,5.0,5.1,379776,0
80.0,4,0,5.1,5.2,375360,0
80.0,4,0,5.2,5.3,378304,0
80.0,4,0,5.3,5.4,373888,0
80.0,4,0,5.4,5.5,376832,0
80.0,4,1,0.5,0.6,0,1472
80.0,4,1,0.6,0.7,0,1472
80.0,4,1,0.7,0.8,0,1472
80.0,4,1,0.8,0.9,0,1472
80.0,4,1,0.9,1.0,0,1472
80.0,4,1,1.0,1.1,0,1472
80.0,4,1,1.1,1.2,0,1472
80.0,4,1,1.2,1.3,0,1472
80.0,4,1,1.3,1.4,0,1472
80.0,4,1,1.4,1.5,0,1472
80.0,4,1,1.5,1.6,0,1472
80.0,4,1,1.6,1.7,0,1472
80.0,4,1,1.7,1.8,0,1472
80.0,4,1,1.8,1.9,0,1472
80.0,4,1,1.9,2.0,0,1472
80.0,4,1,2.0,2.1,197248,1472
80.0,4,1,2.1,2.2,120704,1472
80.0,4,1,2.2,2.3,167808,1472
80.0,4,1,2.3,2.4,136896,1472
80.0,4,1,2.4,2.5,163392,1472
80.0,4,1,2.5,2.6,145728,1472
80.0,4,1,2.6,2.7,182528,1472
80.0,4,1,2.7,2.8,101568,1472
80.0,4,1,2.8,2.9,132480,1472
80.0,4,1,2.9,3.0,91264,1472
80.0,4,1,3.0,3.1,128064,1472
80.0,4,1,3.1,3.2,103040,1472
80.0,4,1,3.2,3.3,122176,1472
80.0,4,1,3.3,3.4,122176,1472
80.0,4,1,3.4,3.5,116288,1472
80.0,4,1,3.5,3.6,69184,1472
80.0,4,1,3.6,3.7,126592,1472
80.0,4,1,3.7,3.8,132480,1472
80.0,4,1,3.8,3.9,189888,1472
80.0,4,1,3.9,4.0,178112,1472
80.0,4,1,4.0,4.1,1472,1472
80.0,4,1,4.1,4.2,0,1472
80.0,4,1,4.2,4.3,0,1472
80.0,4,1,4.3,4.4,0,1472
80.0,4,1,4.4,4.5,0,1472
80.0,4,1,4.5,4.6,0,1472
80.0,4,1,4.6,4.7,0,1472
80.0,4,1,4.7,4.8,0,1472
80.0,4,1,4.8,4.9,0,1472
80.0,4,1,4.9,5.0,0,1472
80.0,4,1,5.0,5.1,0,1472
80.0,4,1,5.1,5.2,0,1472
80.0,4,1,5.2,5.3,0,1472
80.0,4,1,5.3,5.4,0,1472
80.0,4,1,5.4,5.5,0,1472
