separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,5,0,0.5,0.6,376832,0
80.0,5,0,0.6,0.7,375360,0
80.0,5,0,0.7,0.8,376832,0
80.0,5,0,0.8,0.9,379776,0
80.0,5,0,0.9,1.0,376832,0
80.0,5,0,1.0,1.1,378304,0
80.0,5,0,1.1,1.2,379776,0
80.0,5,0,1.2,1.3,379776,0
80.0,5,0,1.3,1.4,376832,0
80.0,5,0,1.4,1.5,372416,0
80.0,5,0,1.5,1.6,373888,0
80.0,5,0,1.6,1.7,378304,0
80.0,5,0,1.7,1.8,375360,0
80.0,5,0,1.8,1.9,376832,0
80.0,5,0,1.9,2.0,376832,0
80.0,5,0,2.0,2.1,126592,0
80.0,5,0,2.1,2.2,161920,0
80.0,5,0,2.2,2.3,133952,0
80.0,5,0,2.3,2.4,97152,0
80.0,5,0,2.4,2.5,154560,0
80.0,5,0,2.5,2.6,133952,0
80.0,5,0,2.6,2.7,203136,0
80.0,5,0,2.7,2.8,191360,0
80.0,5,0,2.8,2.9,122176,0
80.0,5,0,2.9,3.0,80960,0
80.0,5,0,3.0,3.1,219328,0
80.0,5,0,3.1,3.2,98624,0
80.0,5,0,3.2,3.3,198720,0
80.0,5,0,3.3,3.4,92736,0
80.0,5,0,3.4,3.5,160448,0
80.0,5,0,3.5,3.6,136896,0
80.0,5,0,3.6,3.7,125120,0
80.0,5,0,3.7,3.8,157504,0
80.0,5,0,3.8,3.9,197248,0
80.0,5,0,3.9,4.0,52992,0
80.0,5,0,4.0,4.1,373888,0
80.0,5,0,4.1,4.2,376832,0
80.0,5,0,4.2,4.3,378304,0
80.0,5,0,4.3,4.4,375360,0
80.0,5,0,4.4,4.5,373888,0
80.0,5,0,4.5,4.6,373888,0
80.0,5,0,4.6,4.7,379776,0
80.0,5,0,4.7,4.8,376832,0
80.0,5,0,4.8,4.9,378304,0
80.0,5,0,4.9,5.0,373888,0
80.0,5,0,5.0,5.1,375360,0
80.0,5,0,5.1,5.2,379776,0
80.0,5,0,5.2,5.3,384192,0
80.0,5,0,5.3,5.4,372416,0
80.0,5,0,5.4,5.5,375360,0
80.0,5,1,0.5,0.6,0,0
80.0,5,1,0.6,0.7,0,0
80.0,5,1,0.7,0.8,0,0
80.0,5,1,0.8,0.9,0,0
80.0,5,1,0.9,1.0,0,0
80.0,5,1,1.0,1.1,0,0
80.0,5,1,1.1,1.2,0,0
80.0,5,1,1.2,1.3,0,0
80.0,5,1,1.3,1.4,0,0
80.0,5,1,1.4,1.5,0,0
80.0,5,1,1.5,1.6,0,0
80.0,5,1,1.6,1.7,0,0
80.0,5,1,1.7,1.8,0,0
80.0,5,1,1.8,1.9,0,0
80.0,5,1,1.9,2.0,0,0
80.0,5,1,2.0,2.1,148672,0
80.0,5,1,2.1,2.2,101568,0
80.0,5,1,2.2,2.3,153088,0
80.0,5,1,2.3,2.4,169280,0
80.0,5,1,2.4,2.5,120704,0
80.0,5,1,2.5,2.6,132480,0
80.0,5,1,2.6,2.7,69184,0
80.0,5,1,2.7,2.8,94208,0
80.0,5,1,2.8,2.9,147200,0
80.0,5,1,2.9,3.0,185472,0
80.0,5,1,3.0,3.1,64768,0
80.0,5,1,3.1,3.2,176640,0
80.0,5,1,3.2,3.3,64768,0
80.0,5,1,3.3,3.4,184000,0
80.0,5,1,3.4,3.5,113344,0
80.0,5,1,3.5,3.6,129536,0
80.0,5,1,3.6,3.7,142784,0
80.0,5,1,3.7,3.8,122176,0
80.0,5,1,3.8,3.9,78016,0
80.0,5,1,3.9,4.0,195776,0
80.0,5,1,4.0,4.1,0,0
80.0,5,1,4.1,4.2,0,0
80.0,5,1,4.2,4.3,0,0
80.0,5,1,4.3,4.4,0,0
80.0,5,1,4.4,4.5,0,0
80.0,5,1,4.5,4.6,0,0
80.0,5,1,4.6,4.7,0,0
80.0,5,1,4.7,4.8,0,0
80.0,5,1,4.8,4.9,0,0
80.0,5,1,4.9,5.0,0,0
80.0,5,1,5.0,5.1,0,0
80.0,5,1,5.1,5.2,0,0
80.0,5,1,5.2,5.3,0,0
80.0,5,1,5.3,5.4,0,0
80.0,5,1,5.4,5.5,0,0
