separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
40,6,0,0.5,0.6,372416,0
40.0,6,0,0.6,0.7,378304,0
40.0,6,0,0.7,0.8,376832,0
40.0,6,0,0.8,0.9,376832,0
40.0,6,0,0.9,1.0,373888,0
40.0,6,0,1.0,1.1,375360,0
40.0,6,0,1.1,1.2,381248,0
40.0,6,0,1.2,1.3,379776,0
40.0,6,0,1.3,1.4,378304,0
40.0,6,0,1.4,1.5,376832,0
40.0,6,0,1.5,1.6,378304,0
40.0,6,0,1.6,1.7,372416,0
40.0,6,0,1.7,1.8,373888,0
40.0,6,0,1.8,1.9,376832,0
40.0,6,0,1.9,2.0,378304,0
40.0,6,0,2.0,2.1,219328,0
40.0,6,0,2.1,2.2,209024,0
40.0,6,0,2.2,2.3,216384,0
40.0,6,0,2.3,2.4,201664,0
40.0,6,0,2.4,2.5,206080,0
40.0,6,0,2.5,2.6,209024,0
40.0,6,0,2.6,2.7,214912,0
40.0,6,0,2.7,2.8,207552,0
40.0,6,0,2.8,2.9,200192,0
40.0,6,0,2.9,3.0,209024,0
40.0,6,0,3.0,3.1,209024,0
40.0,6,0,3.1,3.2,197248,0
40.0,6,0,3.2,3.3,194304,0
40.0,6,0,3.3,3.4,195776,0
40.0,6,0,3.4,3.5,209024,0
40.0,6,0,3.5,3.6,210496,0
40.0,6,0,3.6,3.7,214912,0
40.0,6,0,3.7,3.8,195776,0
40.0,6,0,3.8,3.9,211968,0
40.0,6,0,3.9,4.0,210496,0
40.0,6,0,4.0,4.1,375360,0
40.0,6,0,4.1,4.2,375360,0
40.0,6,0,4.2,4.3,378304,0
40.0,6,0,4.3,4.4,375360,0
40.0,6,0,4.4,4.5,372416,0
40.0,6,0,4.5,4.6,373888,0
40.0,6,0,4.6,4.7,376832,0
40.0,6,0,4.7,4.8,375360,0
40.0,6,0,4.8,4.9,376832,0
40.0,6,0,4.9,5.0,378304,0
40.0,6,0,5.0,5.1,375360,0
40.0,6,0,5.1,5.2,376832,0
40.0,6,0,5.2,5.3,376832,0
40.0,6,0,5.3,5.4,373888,0
40.0,6,0,5.4,5.5,373888,0
40.0,6,1,0.5,0.6,0,1472
40.0,6,1,0.6,0.7,0,1472
40.0,6,1,0.7,0.8,0,1472
40.0,6,1,0.8,0.9,0,1472
40.0,6,1,0.9,1.0,0,1472
40.0,6,1,1.0,1.1,0,1472
40.0,6,1,1.1,1.2,0,1472
40.0,6,1,1.2,1.3,0,1472
40.0,6,1,1.3,1.4,0,1472
40.0,6,1,1.4,1.5,0,1472
40.0,6,1,1.5,1.6,0,1472
40.0,6,1,1.6,1.7,0,1472
40.0,6,1,1.7,1.8,0,1472
40.0,6,1,1.8,1.9,0,1472
40.0,6,1,1.9,2.0,0,1472
40.0,6,1,2.0,2.1,189888,1472
40.0,6,1,2.1,2.2,206080,1472
40.0,6,1,2.2,2.3,197248,1472
40.0,6,1,2.3,2.4,210496,1472
40.0,6,1,2.4,2.5,207552,1472
40.0,6,1,2.5,2.6,207552,1472
40.0,6,1,2.6,2.7,195776,1472
40.0,6,1,2.7,2.8,203136,1472
40.0,6,1,2.8,2.9,216384,1472
40.0,6,1,2.9,3.0,203136,1472
40.0,6,1,3.0,3.1,204608,1472
40.0,6,1,3.1,3.2,214912,1472
40.0,6,1,3.2,3.3,219328,1472
40.0,6,1,3.3,3.4,217856,1472
40.0,6,1,3.4,3.5,201664,1472
40.0,6,1,3.5,3.6,203136,1472
40.0,6,1,3.6,3.7,194304,1472
40.0,6,1,3.7,3.8,216384,1472
40.0,6,1,3.8,3.9,200192,1472
40.0,6,1,3.9,4.0,204608,1472
40.0,6,1,4.0,4.1,1472,1472
40.0,6,1,4.1,4.2,0,1472
40.0,6,1,4.2,4.3,0,1472
40.0,6,1,4.3,4.4,0,1472
40.0,6,1,4.4,4.5,0,1472
40.0,6,1,4.5,4.6,0,1472
40.0,6,1,4.6,4.7,0,1472
40.0,6,1,4.7,4.8,0,1472
40.0,6,1,4.8,4.9,0,1472
40.0,6,1,4.9,5.0,0,1472
40.0,6,1,5.0,5.1,0,1472
40.0,6,1,5.1,5.2,0,1472
40.0,6,1,5.2,5.3,0,1472
40.0,6,1,5.3,5.4,0,1472
40.0,6,1,5.4,5.5,0,1472
