separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
40,1,0,0.5,0.6,376832,0
40.0,1,0,0.6,0.7,375360,0
40.0,1,0,0.7,0.8,375360,0
40.0,1,0,0.8,0.9,375360,0
40.0,1,0,0.9,1.0,375360,0
40.0,1,0,1.0,1.1,375360,0
40.0,1,0,1.1,1.2,375360,0
40.0,1,0,1.2,1.3,372416,0
40.0,1,0,1.3,1.4,378304,0
40.0,1,0,1.4,1.5,376832,0
40.0,1,0,1.5,1.6,375360,0
40.0,1,0,1.6,1.7,375360,0
40.0,1,0,1.7,1.8,373888,0
40.0,1,0,1.8,1.9,373888,0
40.0,1,0,1.9,2.0,373888,0
40.0,1,0,2.0,2.1,207552,0
40.0,1,0,2.1,2.2,198720,0
40.0,1,0,2.2,2.3,216384,0
40.0,1,0,2.3,2.4,207552,0
40.0,1,0,2.4,2.5,198720,0
40.0,1,0,2.5,2.6,203136,0
40.0,1,0,2.6,2.7,197248,0
40.0,1,0,2.7,2.8,203136,0
40.0,1,0,2.8,2.9,204608,0
40.0,1,0,2.9,3.0,206080,0
40.0,1,0,3.0,3.1,191360,0
40.0,1,0,3.1,3.2,203136,0
40.0,1,0,3.2,3.3,213440,0
40.0,1,0,3.3,3.4,204608,0
40.0,1,0,3.4,3.5,209024,0
40.0,1,0,3.5,3.6,204608,0
40.0,1,0,3.6,3.7,206080,0
40.0,1,0,3.7,3.8,209024,0
40.0,1,0,3.8,3.9,207552,0
40.0,1,0,3.9,4.0,204608,0
40.0,1,0,4.0,4.1,376832,0
40.0,1,0,4.1,4.2,376832,0
40.0,1,0,4.2,4.3,376832,0
40.0,1,0,4.3,4.4,373888,0
40.0,1,0,4.4,4.5,372416,0
40.0,1,0,4.5,4.6,379776,0
40.0,1,0,4.6,4.7,373888,0
40.0,1,0,4.7,4.8,375360,0
40.0,1,0,4.8,4.9,372416,0
40.0,1,0,4.9,5.0,373888,0
40.0,1,0,5.0,5.1,378304,0
40.0,1,0,5.1,5.2,378304,0
40.0,1,0,5.2,5.3,376832,0
40.0,1,0,5.3,5.4,375360,0
40.0,1,0,5.4,5.5,379776,0
40.0,1,1,0.5,0.6,0,1472
40.0,1,1,0.6,0.7,0,1472
40.0,1,1,0.7,0.8,0,1472
40.0,1,1,0.8,0.9,0,1472
40.0,1,1,0.9,1.0,0,1472
40.0,1,1,1.0,1.1,0,1472
40.0,1,1,1.1,1.2,0,1472
40.0,1,1,1.2,1.3,0,1472
40.0,1,1,1.3,1.4,0,1472
40.0,1,1,1.4,1.5,0,1472
40.0,1,1,1.5,1.6,0,1472
40.0,1,1,1.6,1.7,0,1472
40.0,1,1,1.7,1.8,0,1472
40.0,1,1,1.8,1.9,0,1472
40.0,1,1,1.9,2.0,0,1472
40.0,1,1,2.0,2.1,201664,1472
40.0,1,1,2.1,2.2,217856,1472
40.0,1,1,2.2,2.3,198720,1472
40.0,1,1,2.3,2.4,206080,1472
40.0,1,1,2.4,2.5,211968,1472
40.0,1,1,2.5,2.6,211968,1472
40.0,1,1,2.6,2.7,213440,1472
40.0,1,1,2.7,2.8,206080,1472
40.0,1,1,2.8,2.9,209024,1472
40.0,1,1,2.9,3.0,209024,1472
40.0,1,1,3.0,3.1,219328,1472
40.0,1,1,3.1,3.2,207552,1472
40.0,1,1,3.2,3.3,200192,1472
40.0,1,1,3.3,3.4,207552,1472
40.0,1,1,3.4,3.5,206080,1472
40.0,1,1,3.5,3.6,210496,1472
40.0,1,1,3.6,3.7,206080,1472
40.0,1,1,3.7,3.8,206080,1472
40.0,1,1,3.8,3.9,206080,1472
40.0,1,1,3.9,4.0,207552,1472
40.0,1,1,4.0,4.1,1472,1472
40.0,1,1,4.1,4.2,0,1472
40.0,1,1,4.2,4.3,0,1472
40.0,1,1,4.3,4.4,0,1472
40.0,1,1,4.4,4.5,0,1472
40.0,1,1,4.5,4.6,0,1472
40.0,1,1,4.6,4.7,0,1472
40.0,1,1,4.7,4.8,0,1472
40.0,1,1,4.8,4.9,0,1472
40.0,1,1,4.9,5.0,0,1472
40.0,1,1,5.0,5.1,0,1472
40.0,1,1,5.1,5.2,0,1472
40.0,1,1,5.2,5.3,0,1472
40.0,1,1,5.3,5.4,0,1472
40.0,1,1,5.4,5.5,0,1472
