separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
40,13,0,0.5,0.6,379776,0
40.0,13,0,0.6,0.7,372416,0
40.0,13,0,0.7,0.8,375360,0
40.0,13,0,0.8,0.9,376832,0
40.0,13,0,0.9,1.0,375360,0
40.0,13,0,1.0,1.1,378304,0
40.0,13,0,1.1,1.2,372416,0
40.0,13,0,1.2,1.3,378304,0
40.0,13,0,1.3,1.4,373888,0
40.0,13,0,1.4,1.5,375360,0
40.0,13,0,1.5,1.6,373888,0
40.0,13,0,1.6,1.7,375360,0
40.0,13,0,1.7,1.8,379776,0
40.0,13,0,1.8,1.9,376832,0
40.0,13,0,1.9,2.0,375360,0
40.0,13,0,2.0,2.1,200192,0
40.0,13,0,2.1,2.2,213440,0
40.0,13,0,2.2,2.3,204608,0
40.0,13,0,2.3,2.4,210496,0
40.0,13,0,2.4,2.5,200192,0
40.0,13,0,2.5,2.6,200192,0
40.0,13,0,2.6,2.7,198720,0
40.0,13,0,2.7,2.8,213440,0
40.0,13,0,2.8,2.9,195776,0
40.0,13,0,2.9,3.0,207552,0
40.0,13,0,3.0,3.1,191360,0
40.0,13,0,3.1,3.2,192832,0
40.0,13,0,3.2,3.3,211968,0
40.0,13,0,3.3,3.4,216384,0
40.0,13,0,3.4,3.5,204608,0
40.0,13,0,3.5,3.6,210496,0
40.0,13,0,3.6,3.7,201664,0
40.0,13,0,3.7,3.8,217856,0
40.0,13,0,3.8,3.9,210496,0
40.0,13,0,3.9,4.0,206080,0
40.0,13,0,4.0,4.1,372416,0
40.0,13,0,4.1,4.2,375360,0
40.0,13,0,4.2,4.3,375360,0
40.0,13,0,4.3,4.4,370944,0
40.0,13,0,4.4,4.5,378304,0
40.0,13,0,4.5,4.6,376832,0
40.0,13,0,4.6,4.7,373888,0
40.0,13,0,4.7,4.8,376832,0
40.0,13,0,4.8,4.9,373888,0
40.0,13,0,4.9,5.0,370944,0
40.0,13,0,5.0,5.1,376832,0
40.0,13,0,5.1,5.2,373888,0
40.0,13,0,5.2,5.3,379776,0
40.0,13,0,5.3,5.4,375360,0
40.0,13,0,5.4,5.5,378304,0
40.0,13,1,0.5,0.6,0,0
40.0,13,1,0.6,0.7,0,0
40.0,13,1,0.7,0.8,0,0
40.0,13,1,0.8,0.9,0,0
40.0,13,1,0.9,1.0,0,0
40.0,13,1,1.0,1.1,0,0
40.0,13,1,1.1,1.2,0,0
40.0,13,1,1.2,1.3,0,0
40.0,13,1,1.3,1.4,0,0
40.0,13,1,1.4,1.5,0,0
40.0,13,1,1.5,1.6,0,0
40.0,13,1,1.6,1.7,0,0
40.0,13,1,1.7,1.8,0,0
40.0,13,1,1.8,1.9,0,0
40.0,13,1,1.9,2.0,0,0
40.0,13,1,2.0,2.1,209024,0
40.0,13,1,2.1,2.2,200192,0
40.0,13,1,2.2,2.3,209024,0
40.0,13,1,2.3,2.4,203136,0
40.0,13,1,2.4,2.5,211968,0
40.0,13,1,2.5,2.6,213440,0
40.0,13,1,2.6,2.7,213440,0
40.0,13,1,2.7,2.8,200192,0
40.0,13,1,2.8,2.9,217856,0
40.0,13,1,2.9,3.0,203136,0
40.0,13,1,3.0,3.1,219328,0
40.0,13,1,3.1,3.2,222272,0
40.0,13,1,3.2,3.3,201664,0
40.0,13,1,3.3,3.4,197248,0
40.0,13,1,3.4,3.5,207552,0
40.0,13,1,3.5,3.6,203136,0
40.0,13,1,3.6,3.7,210496,0
40.0,13,1,3.7,3.8,194304,0
40.0,13,1,3.8,3.9,200192,0
40.0,13,1,3.9,4.0,209024,0
40.0,13,1,4.0,4.1,0,0
40.0,13,1,4.1,4.2,0,0
40.0,13,1,4.2,4.3,0,0
40.0,13,1,4.3,4.4,0,0
40.0,13,1,4.4,4.5,0,0
40.0,13,1,4.5,4.6,0,0
40.0,13,1,4.6,4.7,0,0
40.0,13,1,4.7,4.8,0,0
40.0,13,1,4.8,4.9,0,0
40.0,13,1,4.9,5.0,0,0
40.0,13,1,5.0,5.1,0,0
40.0,13,1,5.1,5.2,0,0
40.0,13,1,5.2,5.3,0,0
40.0,13,1,5.3,5.4,0,0
40.0,13,1,5.4,5.5,0,0
