separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,12,0,0.5,0.6,372416,0
80.0,12,0,0.6,0.7,373888,0
80.0,12,0,0.7,0.8,378304,0
80.0,12,0,0.8,0.9,378304,0
80.0,12,0,0.9,1.0,376832,0
80.0,12,0,1.0,1.1,378304,0
80.0,12,0,1.1,1.2,378304,0
80.0,12,0,1.2,1.3,375360,0
80.0,12,0,1.3,1.4,373888,0
80.0,12,0,1.4,1.5,376832,0
80.0,12,0,1.5,1.6,373888,0
80.0,12,0,1.6,1.7,375360,0
80.0,12,0,1.7,1.8,375360,0
80.0,12,0,1.8,1.9,376832,0
80.0,12,0,1.9,2.0,372416,0
80.0,12,0,2.0,2.1,164864,0
80.0,12,0,2.1,2.2,178112,0
80.0,12,0,2.2,2.3,150144,0
80.0,12,0,2.3,2.4,125120,0
80.0,12,0,2.4,2.5,131008,0
80.0,12,0,2.5,2.6,111872,0
80.0,12,0,2.6,2.7,131008,0
80.0,12,0,2.7,2.8,154560,0
80.0,12,0,2.8,2.9,103040,0
80.0,12,0,2.9,3.0,161920,0
80.0,12,0,3.0,3.1,97152,0
80.0,12,0,3.1,3.2,158976,0
80.0,12,0,3.2,3.3,198720,0
80.0,12,0,3.3,3.4,135424,0
80.0,12,0,3.4,3.5,86848,0
80.0,12,0,3.5,3.6,151616,0
80.0,12,0,3.6,3.7,184000,0
80.0,12,0,3.7,3.8,135424,0
80.0,12,0,3.8,3.9,107456,0
80.0,12,0,3.9,4.0,123648,0
80.0,12,0,4.0,4.1,368000,0
80.0,12,0,4.1,4.2,375360,0
80.0,12,0,4.2,4.3,376832,0
80.0,12,0,4.3,4.4,378304,0
80.0,12,0,4.4,4.5,378304,0
80.0,12,0,4.5,4.6,376832,0
80.0,12,0,4.6,4.7,372416,0
80.0,12,0,4.7,4.8,372416,0
80.0,12,0,4.8,4.9,375360,0
80.0,12,0,4.9,5.0,379776,0
80.0,12,0,5.0,5.1,375360,0
80.0,12,0,5.1,5.2,375360,0
80.0,12,0,5.2,5.3,373888,0
80.0,12,0,5.3,5.4,379776,0
80.0,12,0,5.4,5.5,373888,0
80.0,12,1,0.5,0.6,0,0
80.0,12,1,0.6,0.7,0,0
80.0,12,1,0.7,0.8,0,0
80.0,12,1,0.8,0.9,0,0
80.0,12,1,0.9,1.0,0,0
80.0,12,1,1.0,1.1,0,0
80.0,12,1,1.1,1.2,0,0
80.0,12,1,1.2,1.3,0,0
80.0,12,1,1.3,1.4,0,0
80.0,12,1,1.4,1.5,0,0
80.0,12,1,1.5,1.6,0,0
80.0,12,1,1.6,1.7,0,0
80.0,12,1,1.7,1.8,0,0
80.0,12,1,1.8,1.9,0,0
80.0,12,1,1.9,2.0,0,0
80.0,12,1,2.0,2.1,110400,0
80.0,12,1,2.1,2.2,79488,0
80.0,12,1,2.2,2.3,120704,0
80.0,12,1,2.3,2.4,160448,0
80.0,12,1,2.4,2.5,111872,0
80.0,12,1,2.5,2.6,163392,0
80.0,12,1,2.6,2.7,148672,0
80.0,12,1,2.7,2.8,122176,0
80.0,12,1,2.8,2.9,166336,0
80.0,12,1,2.9,3.0,113344,0
80.0,12,1,3.0,3.1,175168,0
80.0,12,1,3.1,3.2,117760,0
80.0,12,1,3.2,3.3,54464,0
80.0,12,1,3.3,3.4,158976,0
80.0,12,1,3.4,3.5,194304,0
80.0,12,1,3.5,3.6,116288,0
80.0,12,1,3.6,3.7,72128,0
80.0,12,1,3.7,3.8,147200,0
80.0,12,1,3.8,3.9,172224,0
80.0,12,1,3.9,4.0,131008,0
80.0,12,1,4.0,4.1,0,0
80.0,12,1,4.1,4.2,0,0
80.0,12,1,4.2,4.3,0,0
80.0,12,1,4.3,4.4,0,0
80.0,12,1,4.4,4.5,0,0
80.0,12,1,4.5,4.6,0,0
80.0,12,1,4.6,4.7,0,0
80.0,12,1,4.7,4.8,0,0
80.0,12,1,4.8,4.9,0,0
80.0,12,1,4.9,5.0,0,0
80.0,12,1,5.0,5.1,0,0
80.0,12,1,5.1,5.2,0,0
80.0,12,1,5.2,5.3,0,0
80.0,12,1,5.3,5.4,0,0
80.0,12,1,5.4,5.5,0,0
