separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,2,0,0.5,0.6,372416,0
80.0,2,0,0.6,0.7,378304,0
80.0,2,0,0.7,0.8,375360,0
80.0,2,0,0.8,0.9,375360,0
80.0,2,0,0.9,1.0,378304,0
80.0,2,0,1.0,1.1,375360,0
80.0,2,0,1.1,1.2,373888,0
80.0,2,0,1.2,1.3,376832,0
80.0,2,0,1.3,1.4,373888,0
80.0,2,0,1.4,1.5,376832,0
80.0,2,0,1.5,1.6,376832,0
80.0,2,0,1.6,1.7,373888,0
80.0,2,0,1.7,1.8,373888,0
80.0,2,0,1.8,1.9,379776,0
80.0,2,0,1.9,2.0,375360,0
80.0,2,0,2.0,2.1,123648,0
80.0,2,0,2.1,2.2,91264,0
80.0,2,0,2.2,2.3,144256,0
80.0,2,0,2.3,2.4,141312,0
80.0,2,0,2.4,2.5,122176,0
80.0,2,0,2.5,2.6,122176,0
80.0,2,0,2.6,2.7,201664,0
80.0,2,0,2.7,2.8,150144,0
80.0,2,0,2.8,2.9,126592,0
80.0,2,0,2.9,3.0,163392,0
80.0,2,0,3.0,3.1,169280,0
80.0,2,0,3.1,3.2,83904,0
80.0,2,0,3.2,3.3,158976,0
80.0,2,0,3.3,3.4,153088,0
80.0,2,0,3.4,3.5,142784,0
80.0,2,0,3.5,3.6,161920,0
80.0,2,0,3.6,3.7,119232,0
80.0,2,0,3.7,3.8,126592,0
80.0,2,0,3.8,3.9,82432,0
80.0,2,0,3.9,4.0,105984,0
80.0,2,0,4.0,4.1,375360,0
80.0,2,0,4.1,4.2,376832,0
80.0,2,0,4.2,4.3,370944,0
80.0,2,0,4.3,4.4,376832,0
80.0,2,0,4.4,4.5,376832,0
80.0,2,0,4.5,4.6,375360,0
80.0,2,0,4.6,4.7,366528,0
80.0,2,0,4.7,4.8,375360,0
80.0,2,0,4.8,4.9,376832,0
80.0,2,0,4.9,5.0,378304,0
80.0,2,0,5.0,5.1,379776,0
80.0,2,0,5.1,5.2,372416,0
80.0,2,0,5.2,5.3,376832,0
80.0,2,0,5.3,5.4,378304,0
80.0,2,0,5.4,5.5,378304,0
80.0,2,1,0.5,0.6,0,0
80.0,2,1,0.6,0.7,0,0
80.0,2,1,0.7,0.8,0,0
80.0,2,1,0.8,0.9,0,0
80.0,2,1,0.9,1.0,0,0
80.0,2,1,1.0,1.1,0,0
80.0,2,1,1.1,1.2,0,0
80.0,2,1,1.2,1.3,0,0
80.0,2,1,1.3,1.4,0,0
80.0,2,1,1.4,1.5,0,0
80.0,2,1,1.5,1.6,0,0
80.0,2,1,1.6,1.7,0,0
80.0,2,1,1.7,1.8,0,0
80.0,2,1,1.8,1.9,0,0
80.0,2,1,1.9,2.0,0,0
80.0,2,1,2.0,2.1,138368,0
80.0,2,1,2.1,2.2,172224,0
80.0,2,1,2.2,2.3,145728,0
80.0,2,1,2.3,2.4,129536,0
80.0,2,1,2.4,2.5,158976,0
80.0,2,1,2.5,2.6,151616,0
80.0,2,1,2.6,2.7,73600,0
80.0,2,1,2.7,2.8,107456,0
80.0,2,1,2.8,2.9,136896,0
80.0,2,1,2.9,3.0,116288,0
80.0,2,1,3.0,3.1,116288,0
80.0,2,1,3.1,3.2,194304,0
80.0,2,1,3.2,3.3,116288,0
80.0,2,1,3.3,3.4,133952,0
80.0,2,1,3.4,3.5,144256,0
80.0,2,1,3.5,3.6,105984,0
80.0,2,1,3.6,3.7,145728,0
80.0,2,1,3.7,3.8,129536,0
80.0,2,1,3.8,3.9,175168,0
80.0,2,1,3.9,4.0,175168,0
80.0,2,1,4.0,4.1,0,0
80.0,2,1,4.1,4.2,0,0
80.0,2,1,4.2,4.3,0,0
80.0,2,1,4.3,4.4,0,0
80.0,2,1,4.4,4.5,0,0
80.0,2,1,4.5,4.6,0,0
80.0,2,1,4.6,4.7,0,0
80.0,2,1,4.7,4.8,0,0
80.0,2,1,4.8,4.9,0,0
80.0,2,1,4.9,5.0,0,0
80.0,2,1,5.0,5.1,0,0
80.0,2,1,5.1,5.2,0,0
80.0,2,1,5.2,5.3,0,0
80.0,2,1,5.3,5.4,0,0
80.0,2,1,5.4,5.5,0,0
