separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,11,0,0.5,0.6,372416,0
80.0,11,0,0.6,0.7,376832,0
80.0,11,0,0.7,0.8,375360,0
80.0,11,0,0.8,0.9,376832,0
80.0,11,0,0.9,1.0,376832,0
80.0,11,0,1.0,1.1,379776,0
80.0,11,0,1.1,1.2,372416,0
80.0,11,0,1.2,1.3,373888,0
80.0,11,0,1.3,1.4,378304,0
80.0,11,0,1.4,1.5,378304,0
80.0,11,0,1.5,1.6,378304,0
80.0,11,0,1.6,1.7,376832,0
80.0,11,0,1.7,1.8,375360,0
80.0,11,0,1.8,1.9,375360,0
80.0,11,0,1.9,2.0,375360,0
80.0,11,0,2.0,2.1,113344,0
80.0,11,0,2.1,2.2,119232,0
80.0,11,0,2.2,2.3,170752,0
80.0,11,0,2.3,2.4,157504,0
80.0,11,0,2.4,2.5,100096,0
80.0,11,0,2.5,2.6,175168,0
80.0,11,0,2.6,2.7,126592,0
80.0,11,0,2.7,2.8,119232,0
80.0,11,0,2.8,2.9,167808,0
80.0,11,0,2.9,3.0,139840,0
80.0,11,0,3.0,3.1,92736,0
80.0,11,0,3.1,3.2,145728,0
80.0,11,0,3.2,3.3,125120,0
80.0,11,0,3.3,3.4,151616,0
80.0,11,0,3.4,3.5,164864,0
80.0,11,0,3.5,3.6,55936,0
80.0,11,0,3.6,3.7,203136,0
80.0,11,0,3.7,3.8,191360,0
80.0,11,0,3.8,3.9,123648,0
80.0,11,0,3.9,4.0,178112,0
80.0,11,0,4.0,4.1,370944,0
80.0,11,0,4.1,4.2,376832,0
80.0,11,0,4.2,4.3,375360,0
80.0,11,0,4.3,4.4,375360,0
80.0,11,0,4.4,4.5,373888,0
80.0,11,0,4.5,4.6,375360,0
80.0,11,0,4.6,4.7,375360,0
80.0,11,0,4.7,4.8,372416,0
80.0,11,0,4.8,4.9,373888,0
80.0,11,0,4.9,5.0,372416,0
80.0,11,0,5.0,5.1,378304,0
80.0,11,0,5.1,5.2,376832,0
80.0,11,0,5.2,5.3,376832,0
80.0,11,0,5.3,5.4,375360,0
80.0,11,0,5.4,5.5,376832,0
80.0,11,1,0.5,0.6,0,0
80.0,11,1,0.6,0.7,0,0
80.0,11,1,0.7,0.8,0,0
80.0,11,1,0.8,0.9,0,0
80.0,11,1,0.9,1.0,0,0
80.0,11,1,1.0,1.1,0,0
80.0,11,1,1.1,1.2,0,0
80.0,11,1,1.2,1.3,0,0
80.0,11,1,1.3,1.4,0,0
80.0,11,1,1.4,1.5,0,0
80.0,11,1,1.5,1.6,0,0
80.0,11,1,1.6,1.7,0,0
80.0,11,1,1.7,1.8,0,0
80.0,11,1,1.8,1.9,0,0
80.0,11,1,1.9,2.0,0,0
80.0,11,1,2.0,2.1,161920,0
80.0,11,1,2.1,2.2,163392,0
80.0,11,1,2.2,2.3,111872,0
80.0,11,1,2.3,2.4,95680,0
80.0,11,1,2.4,2.5,169280,0
80.0,11,1,2.5,2.6,100096,0
80.0,11,1,2.6,2.7,153088,0
80.0,11,1,2.7,2.8,150144,0
80.0,11,1,2.8,2.9,98624,0
80.0,11,1,2.9,3.0,128064,0
80.0,11,1,3.0,3.1,186944,0
80.0,11,1,3.1,3.2,128064,0
80.0,11,1,3.2,3.3,126592,0
80.0,11,1,3.3,3.4,123648,0
80.0,11,1,3.4,3.5,103040,0
80.0,11,1,3.5,3.6,210496,0
80.0,11,1,3.6,3.7,78016,0
80.0,11,1,3.7,3.8,66240,0
80.0,11,1,3.8,3.9,147200,0
80.0,11,1,3.9,4.0,80960,0
80.0,11,1,4.0,4.1,0,0
80.0,11,1,4.1,4.2,0,0
80.0,11,1,4.2,4.3,0,0
80.0,11,1,4.3,4.4,0,0
80.0,11,1,4.4,4.5,0,0
80.0,11,1,4.5,4.6,0,0
80.0,11,1,4.6,4.7,0,0
80.0,11,1,4.7,4.8,0,0
80.0,11,1,4.8,4.9,0,0
80.0,11,1,4.9,5.0,0,0
80.0,11,1,5.0,5.1,0,0
80.0,11,1,5.1,5.2,0,0
80.0,11,1,5.2,5.3,0,0
80.0,11,1,5.3,5.4,0,0
80.0,11,1,5.4,5.5,0,0
