separation,seed,link_index,start_s,end_s,payload_bytes,late_payload_bytes
80,20,0,0.5,0.6,378304,0
80.0,20,0,0.6,0.7,375360,0
80.0,20,0,0.7,0.8,372416,0
80.0,20,0,0.8,0.9,375360,0
80.0,20,0,0.9,1.0,370944,0
80.0,20,0,1.0,1.1,373888,0
80.0,20,0,1.1,1.2,372416,0
80.0,20,0,1.2,1.3,379776,0
80.0,20,0,1.3,1.4,372416,0
80.0,20,0,1.4,1.5,376832,0
80.0,20,0,1.5,1.6,376832,0
80.0,20,0,1.6,1.7,378304,0
80.0,20,0,1.7,1.8,378304,0
80.0,20,0,1.8,1.9,381248,0
80.0,20,0,1.9,2.0,372416,0
80.0,20,0,2.0,2.1,147200,0
80.0,20,0,2.1,2.2,188416,0
80.0,20,0,2.2,2.3,139840,0
80.0,20,0,2.3,2.4,185472,0
80.0,20,0,2.4,2.5,141312,0
80.0,20,0,2.5,2.6,125120,0
80.0,20,0,2.6,2.7,114816,0
80.0,20,0,2.7,2.8,92736,0
80.0,20,0,2.8,2.9,113344,0
80.0,20,0,2.9,3.0,209024,0
80.0,20,0,3.0,3.1,144256,0
80.0,20,0,3.1,3.2,145728,0
80.0,20,0,3.2,3.3,129536,0
80.0,20,0,3.3,3.4,100096,0
80.0,20,0,3.4,3.5,150144,0
80.0,20,0,3.5,3.6,105984,0
80.0,20,0,3.6,3.7,94208,0
80.0,20,0,3.7,3.8,151616,0
80.0,20,0,3.8,3.9,132480,0
80.0,20,0,3.9,4.0,128064,0
80.0,20,0,4.0,4.1,370944,0
80.0,20,0,4.1,4.2,373888,0
80.0,20,0,4.2,4.3,378304,0
80.0,20,0,4.3,4.4,375360,0
80.0,20,0,4.4,4.5,369472,0
80.0,20,0,4.5,4.6,373888,0
80.0,20,0,4.6,4.7,373888,0
80.0,20,0,4.7,4.8,369472,0
80.0,20,0,4.8,4.9,379776,0
80.0,20,0,4.9,5.0,373888,0
80.0,20,0,5.0,5.1,373888,0
80.0,20,0,5.1,5.2,378304,0
80.0,20,0,5.2,5.3,372416,0
80.0,20,0,5.3,5.4,373888,0
80.0,20,0,5.4,5.5,375360,0
80.0,20,1,0.5,0.6,0,1472
80.0,20,1,0.6,0.7,0,1472
80.0,20,1,0.7,0.8,0,1472
80.0,20,1,0.8,0.9,0,1472
80.0,20,1,0.9,1.0,0,1472
80.0,20,1,1.0,1.1,0,1472
80.0,20,1,1.1,1.2,0,1472
80.0,20,1,1.2,1.3,0,1472
80.0,20,1,1.3,1.4,0,1472
80.0,20,1,1.4,1.5,0,1472
80.0,20,1,1.5,1.6,0,1472
80.0,20,1,1.6,1.7,0,1472
80.0,20,1,1.7,1.8,0,1472
80.0,20,1,1.8,1.9,0,1472
80.0,20,1,1.9,2.0,0,1472
80.0,20,1,2.0,2.1,114816,1472
80.0,20,1,2.1,2.2,95680,1472
80.0,20,1,2.2,2.3,132480,1472
80.0,20,1,2.3,2.4,73600,1472
80.0,20,1,2.4,2.5,111872,1472
80.0,20,1,2.5,2.6,156032,1472
80.0,20,1,2.6,2.7,133952,1472
80.0,20,1,2.7,2.8,150144,1472
80.0,20,1,2.8,2.9,150144,1472
80.0,20,1,2.9,3.0,78016,1472
80.0,20,1,3.0,3.1,120704,1472
80.0,20,1,3.1,3.2,120704,1472
80.0,20,1,3.2,3.3,153088,1472
80.0,20,1,3.3,3.4,191360,1472
80.0,20,1,3.4,3.5,151616,1472
80.0,20,1,3.5,3.6,182528,1472
80.0,20,1,3.6,3.7,163392,1472
80.0,20,1,3.7,3.8,119232,1472
80.0,20,1,3.8,3.9,139840,1472
80.0,20,1,3.9,4.0,135424,1472
80.0,20,1,4.0,4.1,1472,1472
80.0,20,1,4.1,4.2,0,1472
80.0,20,1,4.2,4.3,0,1472
80.0,20,1,4.3,4.4,0,1472
80.0,20,1,4.4,4.5,0,1472
80.0,20,1,4.5,4.6,0,1472
80.0,20,1,4.6,4.7,0,1472
80.0,20,1,4.7,4.8,0,1472
80.0,20,1,4.8,4.9,0,1472
80.0,20,1,4.9,5.0,0,1472
80.0,20,1,5.0,5.1,0,1472
80.0,20,1,5.1,5.2,0,1472
80.0,20,1,5.2,5.3,0,1472
80.0,20,1,5.3,5.4,0,1472
80.0,20,1,5.4,5.5,0,1472
