nLinks,seed,link_index,goodput_Mbps,goodput_MBps
6,16,0,7.5024,0.9378
6,16,1,7.6535,0.9567
6,16,2,7.5405,0.9426
6,16,3,7.6501,0.9563
6,16,4,7.5405,0.9426
6,16,5,7.2789,0.9099
